Habitat,Sector,Water_mass,Sediment,Lat end dec,Long_start_dec,Depth_CTD,Wind_end,Wind_speed_start,Wind_speed_end,Temperature_CTD,O2_saturation_CTD
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,3.0,2.0,6.0,63.018,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,3.0,2.0,6.0,63.018,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
1.0,3.0,2.0,6.0,63.018,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
2.0,1.0,3.0,1.0,67.215,-26.207,716.5,6.0,2.0,3.0,0.07,292.966
2.0,1.0,3.0,1.0,67.215,-26.207,716.5,6.0,2.0,3.0,0.07,292.966
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
1.0,5.0,4.0,2.0,67.639,-12.162,1819.3,7.0,11.0,10.0,-0.8511,245.53
2.0,1.0,3.0,1.0,67.215,-26.207,716.5,6.0,2.0,3.0,0.07,292.966
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
1.0,5.0,4.0,2.0,67.639,-12.162,1819.3,7.0,11.0,10.0,-0.8511,245.53
1.0,1.0,5.0,1.0,67.86,-23.696,1281.0,3.0,5.0,6.0,-0.66561,278.7728
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,1.0,5.0,1.0,67.86,-23.696,1281.0,3.0,5.0,6.0,-0.66561,278.7728
1.0,2.0,5.0,1.0,67.075,-13.064,1574.7,2.0,6.0,5.0,-0.74403,269.2512
1.0,1.0,5.0,1.0,67.86,-23.696,1281.0,3.0,5.0,6.0,-0.66561,278.7728
2.0,2.0,7.0,4.0,66.293,-12.347,579.1,8.0,10.0,7.0,-0.40217,283.581
2.0,1.0,3.0,1.0,67.215,-26.207,716.5,6.0,2.0,3.0,0.07,292.966
1.0,2.0,5.0,1.0,67.075,-13.064,1574.7,2.0,6.0,5.0,-0.74403,269.2512
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
1.0,3.0,2.0,6.0,63.018,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,3.0,2.0,6.0,63.018,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
1.0,3.0,2.0,6.0,63.018,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
2.0,1.0,3.0,1.0,67.215,-26.207,716.5,6.0,2.0,3.0,0.07,292.966
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
1.0,1.0,5.0,1.0,67.86,-23.696,1281.0,3.0,5.0,6.0,-0.66561,278.7728
1.0,1.0,5.0,1.0,67.86,-23.696,1281.0,3.0,5.0,6.0,-0.66561,278.7728
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
2.0,2.0,7.0,4.0,66.293,-12.347,579.1,8.0,10.0,7.0,-0.40217,283.581
2.0,1.0,3.0,1.0,67.215,-26.207,716.5,6.0,2.0,3.0,0.07,292.966
2.0,1.0,3.0,1.0,67.215,-26.207,716.5,6.0,2.0,3.0,0.07,292.966
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
1.0,3.0,2.0,6.0,63.018,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
1.0,3.0,6.0,5.0,61.654,-31.356,2504.7,8.0,4.0,8.0,3.16,254.17
1.0,3.0,6.0,5.0,61.654,-31.356,2504.7,8.0,4.0,8.0,3.16,254.17
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,3.0,6.0,5.0,61.654,-31.356,2504.7,8.0,4.0,8.0,3.16,254.17
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
1.0,5.0,4.0,2.0,67.639,-12.162,1819.3,7.0,11.0,10.0,-0.8511,245.53
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,4.0,1.0,3.0,60.046,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
1.0,3.0,2.0,6.0,63.018,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
3.0,1.0,8.0,1.0,67.633,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
1.0,1.0,5.0,1.0,67.86,-23.696,1281.0,3.0,5.0,6.0,-0.66561,278.7728
1.0,3.0,2.0,6.0,63.018,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
